name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"safe-buffer","5.2.1","5.2.1","git://github.com/feross/safe-buffer.git","2020-05-10T16:37:30.776Z","feross (feross@feross.org)",32101,"MIT",true,true,false,false,false,"bl@2.2.1,ecdsa-sig-formatter@1.0.11,jwa@1.4.1,jws@3.2.2,mongodb@3.7.3,mongoose@5.13.14,request@2.88.2,tunnel-agent@0.6.0"
"morgan","1.9.1","1.10.0","git+https://github.com/expressjs/morgan.git","2018-09-11T01:12:35.037Z","dougwilson (doug@somethingdoug.com)",28659,"MIT",true,false,false,false,false,"react@0.0.0"
"mpath","0.8.4","0.9.0","git://github.com/aheckmann/mpath.git","2021-09-01T15:15:17.027Z","vkarpov15 (val@karpov.io)",96297,"MIT",true,false,false,false,false,"mongoose@5.13.14"
"mquery","3.2.5","5.0.0","git://github.com/aheckmann/mquery.git","2021-03-29T14:55:20.817Z","vkarpov15 (val@karpov.io)",247562,"MIT",true,false,false,false,false,"mongoose@5.13.14"
"debug","3.1.0","4.3.4","git://github.com/visionmedia/debug.git","2017-09-26T19:13:51.492Z","tootallnate (nathan@tootallnate.net)","-","MIT",true,false,false,false,false,"mquery@3.2.5"
"ms","2.0.0","2.1.3","git+https://github.com/zeit/ms.git","2017-05-16T12:26:06.610Z","leo (leo@zeit.co)","-","MIT",true,false,false,false,false,"debug@3.1.0,send@0.16.2"
"natives","1.1.6","-","-","-","-","-","-",false,true,false,false,false,"graceful-fs@3.0.12"
"negotiator","0.6.2","0.6.3","git+https://github.com/jshttp/negotiator.git","2019-04-30T00:30:30.629Z","dougwilson (doug@somethingdoug.com)",28102,"MIT",true,false,false,false,false,"accepts@1.3.7"
"node-addon-api","3.2.1","6.0.0","git://github.com/nodejs/node-addon-api.git","2021-05-28T18:25:15.697Z","nicknaso (nicoladelgobbo@gmail.com)",420094,"MIT",true,false,false,false,false,"bcrypt@5.0.1"
"node-fetch","2.6.7","3.3.0","git+https://github.com/bitinn/node-fetch.git","2022-01-16T12:18:38.923Z","endless (jimmy@warting.se)",152240,"MIT",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"nodemon","1.3.3","-","-","-","-","-","-",false,true,false,false,false,"react@0.0.0"
"nopt","5.0.0","7.0.0","git+https://github.com/npm/nopt.git","2020-08-17T08:06:31.528Z","isaacs (i@izs.me)",25840,"ISC",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"npmlog","5.0.1","7.0.1","git+https://github.com/npm/npmlog.git","2021-09-02T14:33:09.109Z","gar (gar+npm@danger.computer)",16566,"ISC",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"oauth-sign","0.9.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"object-assign","4.1.1","4.1.1","git+https://github.com/sindresorhus/object-assign.git","2017-01-16T15:35:15.282Z","sindresorhus (sindresorhus@gmail.com)","-","MIT",true,false,false,false,false,"gauge@3.0.2"
"on-finished","2.3.0","2.4.1","https://github.com/jshttp/on-finished","2015-05-27T01:58:14.758Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"body-parser@1.18.3,express@4.16.4,finalhandler@1.1.1,morgan@1.9.1,send@0.16.2"
"on-headers","1.0.2","1.0.2","git+https://github.com/jshttp/on-headers.git","2019-02-22T03:48:54.600Z","dougwilson (doug@somethingdoug.com)",7538,"MIT",true,false,false,false,false,"morgan@1.9.1"
"once","1.4.0","1.4.0","git://github.com/isaacs/once.git","2016-09-06T21:11:09.367Z","isaacs (i@izs.me)","-","ISC",true,false,false,false,false,"glob@7.2.3,inflight@1.0.6"
"optimist","0.3.7","0.6.1","http://github.com/substack/node-optimist.git","2013-04-04T04:09:40.361Z","substack (mail@substack.net)","-","MIT/X11",true,false,false,false,false,"uglify-js@2.2.5"
"optional-require","1.0.3","1.1.8","git+https://github.com/jchip/optional-require.git","2021-04-10T20:38:19.281Z","jchip (joel123@gmail.com)",7400,"Apache-2.0",true,false,false,false,false,"mongoose@5.13.14"
"os-homedir","1.0.2","-","-","-","-","-","-",false,true,false,false,false,"osenv@0.1.5"
"os-tmpdir","1.0.2","-","-","-","-","-","-",false,true,false,false,false,"osenv@0.1.5"
"osenv","0.1.5","-","-","-","-","-","-",false,true,false,false,false,"configstore@0.3.2"
"parseurl","1.3.3","1.3.3","git+https://github.com/pillarjs/parseurl.git","2019-04-16T04:16:26.547Z","dougwilson (doug@somethingdoug.com)",10299,"MIT",true,false,false,false,false,"express@4.16.4,finalhandler@1.1.1,serve-static@1.13.2"
"path-is-absolute","1.0.1","2.0.0","git+https://github.com/sindresorhus/path-is-absolute.git","2016-09-30T04:42:03.803Z","sindresorhus (sindresorhus@gmail.com)","-","MIT",true,false,false,false,false,"glob@7.2.3"
"path-to-regexp","0.1.7","6.2.1","git+https://github.com/component/path-to-regexp.git","2015-07-28T03:07:52.808Z","blakeembrey (hello@blakeembrey.com)","-","MIT",true,false,false,false,false,"express@4.16.4"
"performance-now","2.1.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"process-nextick-args","2.0.1","2.0.1","git+https://github.com/calvinmetcalf/process-nextick-args.git","2019-06-19T20:34:39.252Z","cwmma (calvin.metcalf@gmail.com)",3175,"MIT",true,false,false,false,false,"readable-stream@2.3.7"
"proxy-addr","2.0.5","2.0.7","git+https://github.com/jshttp/proxy-addr.git","2019-04-16T16:29:44.431Z","dougwilson (doug@somethingdoug.com)",15475,"MIT",true,false,false,false,false,"express@4.16.4"
"ps-tree","0.0.3","-","-","-","-","-","-",false,true,false,false,false,"nodemon@1.3.3"
"psl","1.8.0","-","-","-","-","-","-",false,true,false,false,false,"tough-cookie@2.5.0"
"punycode","2.1.1","-","-","-","-","-","-",false,true,false,false,false,"tough-cookie@2.5.0,uri-js@4.4.1"
"qs","6.5.2","6.11.0","git+https://github.com/ljharb/qs.git","2018-05-04T06:06:13.890Z","ljharb (ljharb@gmail.com)",114127,"BSD-3-Clause",true,true,false,false,false,"body-parser@1.18.3,express@4.16.4,request@2.88.2"
"range-parser","1.2.1","1.2.1","git+https://github.com/jshttp/range-parser.git","2019-05-11T00:27:37.805Z","dougwilson (doug@somethingdoug.com)",8457,"MIT",true,false,false,false,false,"express@4.16.4,send@0.16.2"
"raw-body","2.3.3","2.5.2","git+https://github.com/stream-utils/raw-body.git","2018-05-08T15:39:36.374Z","dougwilson (doug@somethingdoug.com)",22411,"MIT",true,false,false,false,false,"body-parser@1.18.3"
"readable-stream","2.3.7","4.3.0","git://github.com/nodejs/readable-stream.git","2020-01-05T17:13:39.106Z","matteo.collina (hello@matteocollina.com)",87719,"MIT",true,false,false,false,false,"bl@2.2.1"
"regexp-clone","1.0.0","1.0.0","git://github.com/aheckmann/regexp-clone.git","2019-06-07T16:16:23.962Z","aaron (aaron.heckmann+github@gmail.com)",7395,"MIT",true,false,false,false,false,"mongoose@5.13.14,mquery@3.2.5"
"request","2.88.2","-","-","-","-","-","-",false,true,false,false,false,"update-notifier@0.1.10"
"uuid","3.4.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"require-at","1.0.6","1.0.6","git+https://github.com/jchip/require-at.git","2020-11-28T08:32:13.440Z","jchip (joel123@gmail.com)",5882,"Apache-2.0",true,false,false,false,false,"optional-require@1.1.8"
"rimraf","3.0.2","4.3.0","git://github.com/isaacs/rimraf.git","2020-02-09T06:18:37.504Z","isaacs (i@izs.me)",17327,"ISC",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"safe-buffer","5.1.2","5.2.1","git://github.com/feross/safe-buffer.git","2018-04-25T20:10:24.706Z","feross (feross@feross.org)",31686,"MIT",true,false,false,false,false,"basic-auth@2.0.1,express@4.16.4,mquery@3.2.5,readable-stream@2.3.7,string_decoder@1.1.1"
"safer-buffer","2.1.2","2.1.2","git+https://github.com/ChALkeR/safer-buffer.git","2018-04-08T10:42:42.130Z","chalker (chalkerx@gmail.com)",42299,"MIT",true,true,false,false,false,"asn1@0.2.6,ecc-jsbn@0.1.2,iconv-lite@0.4.23,sshpk@1.17.0"
"saslprep","1.0.3","1.0.3","git+https://github.com/reklatsmasters/saslprep.git","2019-05-01T01:41:24.631Z","reklatsmasters (me@reklatsmasters.com)",457546,"MIT",true,false,true,false,false,"mongodb@3.7.3"
"semver","5.7.1","7.3.8","git+https://github.com/npm/node-semver.git","2019-08-12T16:28:15.053Z","isaacs (i@izs.me)",61578,"ISC",true,false,false,false,false,"jsonwebtoken@8.5.1"
"send","0.16.2","0.18.0","git+https://github.com/pillarjs/send.git","2018-02-07T16:26:27.070Z","dougwilson (doug@somethingdoug.com)",46571,"MIT",true,false,false,false,false,"express@4.16.4,serve-static@1.13.2"
"serve-static","1.13.2","1.15.0","git+https://github.com/expressjs/serve-static.git","2018-02-07T18:38:40.596Z","dougwilson (doug@somethingdoug.com)",24364,"MIT",true,false,false,false,false,"express@4.16.4"
"set-blocking","2.0.0","2.0.0","git+https://github.com/yargs/set-blocking.git","2016-05-17T22:59:27.619Z","bcoe (ben@npmjs.com)","-","ISC",true,false,false,false,false,"npmlog@5.0.1"
"setprototypeof","1.1.0","1.2.0","git+https://github.com/wesleytodd/setprototypeof.git","2017-09-13T23:50:24.119Z","wesleytodd (wes@wesleytodd.com)","-","ISC",true,false,false,false,false,"express@4.16.4,http-errors@1.6.3"
"sift","13.5.2","17.0.1","git+https://github.com/crcn/sift.js.git","2021-04-23T08:16:04.963Z","crcn (craig.j.condon@gmail.com)",267024,"MIT",true,false,false,false,false,"mongoose@5.13.14"
"sigmund","1.0.1","-","-","-","-","-","-",false,true,false,false,false,"minimatch@0.3.0"
"signal-exit","3.0.7","3.0.7","git+https://github.com/tapjs/signal-exit.git","2022-02-03T21:05:34.544Z","isaacs (i@izs.me)",9958,"ISC",true,false,false,false,false,"gauge@3.0.2"
"sliced","1.0.1","1.0.1","git://github.com/aheckmann/sliced","2015-07-14T23:58:24.818Z","aaron (aaron.heckmann+github@gmail.com)","-","MIT",true,false,false,false,false,"mongoose@5.13.14,mquery@3.2.5"
"source-map","0.1.43","0.7.4","http://github.com/mozilla/source-map.git","2015-01-08T18:25:06.813Z","nickfitzgerald (fitzgen@gmail.com)","-","BSD-3-Clause",true,false,false,false,false,"uglify-js@2.2.5"
"sparse-bitfield","3.0.3","3.0.3","git+https://github.com/mafintosh/sparse-bitfield.git","2017-03-05T00:17:45.769Z","mafintosh (mathiasbuus@gmail.com)","-","MIT",true,false,true,false,false,"saslprep@1.0.3"
"sprintf-js","1.0.3","-","-","-","-","-","-",false,true,false,false,false,"argparse@1.0.10"
"sshpk","1.17.0","-","-","-","-","-","-",false,true,false,false,false,"http-signature@1.2.0"
"statuses","1.4.0","2.0.1","git+https://github.com/jshttp/statuses.git","2017-10-20T18:51:21.858Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4,finalhandler@1.1.1,http-errors@1.6.3,send@0.16.2"
"streamsearch","1.1.0","1.1.0","git+ssh://git@github.com/mscdex/streamsearch.git","2021-12-19T19:12:20.627Z","mscdex (mscdex@mscdex.net)",16575,"MIT",true,false,false,false,false,"busboy@1.6.0"
"string_decoder","1.1.1","1.3.0","git://github.com/nodejs/string_decoder.git","2018-03-30T08:14:15.043Z","matteo.collina (hello@matteocollina.com)",15298,"MIT",true,false,false,false,false,"readable-stream@2.3.7"
"string-width","4.2.3","5.1.2","git+https://github.com/sindresorhus/string-width.git","2021-09-23T17:17:21.341Z","sindresorhus (sindresorhus@gmail.com)",5161,"MIT",true,false,false,false,false,"gauge@3.0.2,wide-align@1.1.5"
"strip-ansi","6.0.1","7.0.1","git+https://github.com/chalk/strip-ansi.git","2021-09-23T16:34:41.798Z","sindresorhus (sindresorhus@gmail.com)",4029,"MIT",true,false,false,false,false,"gauge@3.0.2,string-width@4.2.3"
"tar","6.1.11","6.1.13","git+https://github.com/npm/node-tar.git","2021-08-26T16:16:13.333Z","isaacs (i@izs.me)",160662,"ISC",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"mkdirp","1.0.4","2.1.5","git+https://github.com/isaacs/node-mkdirp.git","2020-04-03T17:03:08.825Z","isaacs (i@izs.me)",19088,"MIT",true,false,false,false,false,"tar@6.1.11"
"touch","0.0.4","-","-","-","-","-","-",false,true,false,false,false,"nodemon@1.3.3"
"nopt","1.0.10","-","-","-","-","-","-",false,true,false,false,false,"touch@0.0.4"
"tough-cookie","2.5.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"tr46","0.0.3","4.1.0","git+https://github.com/Sebmaster/tr46.js.git","2016-01-20T02:08:54.875Z","sebmaster (sebmaster16@gmail.com)","-","MIT",true,false,false,false,false,"whatwg-url@5.0.0"
"transformers","2.1.0","3.1.0","https://github.com/ForbesLindesay/transformers.git","2013-07-13T00:11:25.066Z","forbeslindesay (forbes@lindesay.co.uk)","-","MIT",true,false,false,false,false,"jade@1.9.2"
"is-promise","1.0.1","4.0.0","https://github.com/then/is-promise.git","2014-05-20T13:38:55.043Z","forbeslindesay (forbes@lindeay.co.uk)","-","MIT",true,false,false,false,false,"promise@2.0.0"
"promise","2.0.0","8.3.0","https://github.com/then/promise.git","2013-03-05T02:32:42.544Z","forbeslindesay (forbes@lindesay.co.uk)","-","MIT",true,false,false,false,false,"transformers@2.1.0"
"tunnel-agent","0.6.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"tweetnacl","0.14.5","-","-","-","-","-","-",false,true,false,false,false,"bcrypt-pbkdf@1.0.2,sshpk@1.17.0"
"type-is","1.6.18","1.6.18","git+https://github.com/jshttp/type-is.git","2019-04-26T13:59:49.224Z","dougwilson (doug@somethingdoug.com)",18497,"MIT",true,false,false,false,false,"body-parser@1.18.3,express@4.16.4"
"uglify-js","2.2.5","3.17.4","git+https://github.com/mishoo/UglifyJS.git","2013-02-14T10:50:15.455Z","mishoo (mihai.bazon@gmail.com)","-","BSD-2-Clause",true,false,false,false,false,"transformers@2.1.0"
"unpipe","1.0.0","1.0.0","https://github.com/stream-utils/unpipe","2015-06-14T20:30:19.934Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"finalhandler@1.1.1,raw-body@2.3.3"
"update-notifier","0.1.10","-","-","-","-","-","-",false,true,false,false,false,"nodemon@1.3.3"
"semver","2.3.2","-","-","-","-","-","-",false,true,false,false,false,"update-notifier@0.1.10"
"uri-js","4.4.1","-","-","-","-","-","-",false,true,false,false,false,"ajv@6.12.6"
"user-home","1.1.1","-","-","-","-","-","-",false,true,false,false,false,"configstore@0.3.2,xdg-basedir@1.0.1"
"util-deprecate","1.0.2","1.0.2","git://github.com/TooTallNate/util-deprecate.git","2015-10-07T18:37:40.665Z","tootallnate (nathan@tootallnate.net)","-","MIT",true,false,false,false,false,"readable-stream@2.3.7"
"utils-merge","1.0.1","1.0.1","git://github.com/jaredhanson/utils-merge.git","2017-09-20T00:18:39.692Z","jaredhanson (jaredhanson@gmail.com)","-","MIT",true,false,false,false,false,"express@4.16.4"
"uuid","2.0.3","-","-","-","-","-","-",false,true,false,false,false,"configstore@0.3.2"
"vary","1.1.2","1.1.2","git+https://github.com/jshttp/vary.git","2017-09-24T01:47:11.325Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4"
"verror","1.10.0","-","-","-","-","-","-",false,true,false,false,false,"jsprim@1.4.2"
"core-util-is","1.0.2","-","-","-","-","-","-",false,true,false,false,false,"verror@1.10.0"
"void-elements","2.0.1","3.1.0","git://github.com/hemanth/void-elements","2015-01-28T03:46:50.519Z","hemanth (hemanth.hm@gmail.com)","-","MIT",true,false,false,false,false,"jade@1.9.2"
"webidl-conversions","3.0.1","7.0.0","git+https://github.com/jsdom/webidl-conversions.git","2016-01-04T06:08:05.108Z","sebmaster (sebmaster16@gmail.com)","-","BSD-2-Clause",true,false,false,false,false,"whatwg-url@5.0.0"
"whatwg-url","5.0.0","12.0.0","git+https://github.com/jsdom/whatwg-url.git","2017-05-26T20:56:41.955Z","domenic (d@domenic.me)","-","MIT",true,false,false,false,false,"node-fetch@2.6.7"
"wide-align","1.1.5","1.1.5","git+https://github.com/iarna/wide-align.git","2021-10-15T14:17:01.529Z","iarna (me@re-becca.org)",4467,"ISC",true,false,false,false,false,"gauge@3.0.2"
"with","4.0.3","7.0.2","https://github.com/ForbesLindesay/with.git","2015-04-06T21:17:47.492Z","forbeslindesay (forbes@lindesay.co.uk)","-","MIT",true,false,false,false,false,"jade@1.9.2"
"acorn","1.2.2","8.8.2","https://github.com/marijnh/acorn.git","2015-05-28T07:46:58.475Z","marijn (marijnh@gmail.com)","-","MIT",true,false,false,false,false,"with@4.0.3"
"wordwrap","0.0.3","1.0.0","git://github.com/substack/node-wordwrap.git","2015-05-07T17:04:58.219Z","substack (substack@gmail.com)","-","MIT",true,true,false,false,false,"optimist@0.3.7"
"wrappy","1.0.2","1.0.2","git+https://github.com/npm/wrappy.git","2016-05-17T23:30:52.415Z","zkat (kat@sykosomatic.org)","-","ISC",true,false,false,false,false,"inflight@1.0.6,once@1.4.0"
"xdg-basedir","1.0.1","-","-","-","-","-","-",false,true,false,false,false,"configstore@0.3.2"
"yallist","4.0.0","4.0.0","git+https://github.com/isaacs/yallist.git","2019-09-30T20:08:08.970Z","isaacs (i@izs.me)",14752,"ISC",true,false,false,false,false,"lru-cache@6.0.0,minipass@3.3.3,minizlib@2.1.2,tar@6.1.11"
